course_id,course_name,course_area,local,priority_rank,priority_score,priority_level,priority_assessment,score_difference,score_agreement,hiring_pressure_rank,hiring_pressure_score,hiring_pressure_tier,hiring_main_pressure_driver,cross_hiring_rank,cross_hiring_score,cross_hiring_tier,cross_main_pressure_driver,workforce_base_score,workforce_vulnerability_tier,workforce_main_risk_driver,actions_base_score,actions_pressure_tier,actions_main_pressure_driver,commercial_base_score,commercial_pressure_tier,commercial_main_pressure_driver,training_hours_per_trainer,concurrent_actions_per_trainer,weekly_sales_per_trainer,sustained_demand_pressure,shared_trainer_capacity_pressure,workload_pressure_score,concurrency_pressure_score,commercial_coverage_pressure_score,sustained_demand_pressure_score,shared_trainer_capacity_pressure_score
LOG,Logística e Gestão de Armazém,Logística,Centro 1,39,60.06,Upper-middle,Moderate priority,1.67,Strong agreement,31,60.9,Upper-middle,Actions,44,59.23,Upper-middle,Sustained demand,49.3,Lower-middle,Trainer scarcity,69.66,Upper-middle,Volume,66.58,Upper-middle,Volume,14.83,1.0,3.77,0.6854,0.0734,70.83333333333334,47.91666666666667,65.83333333333333,76.66666666666667,30.833333333333336
PRI,Primeiros Socorros,Saúde e Segurança,Centro 1,40,59.52,Upper-middle,Moderate priority,10.74,Strong agreement,19,64.89,Upper-middle,Commercial,52,54.15,Upper-middle,Sustained demand,56.0,Upper-middle,Trainer scarcity,65.93,Upper-middle,Regularity,80.6,High,Volume,10.48,0.8,4.42,0.7595,0.0827,55.00000000000001,29.583333333333332,76.66666666666667,87.5,37.5
ING,Inglês Profissional,Línguas,Centro 4,41,58.62,Upper-middle,Moderate priority,8.96,Strong agreement,46,54.14,Upper-middle,Workforce,40,63.1,Upper-middle,Training workload,82.0,High,Trainer scarcity,33.4,Lower-middle,Volume,39.88,Lower-middle,Volume,17.2,1.2,4.06,0.5292,0.0774,78.33333333333333,69.16666666666667,71.66666666666667,42.5,34.583333333333336
CYB,Cibersegurança Básica,Informática,Centro 5,42,56.61,Upper-middle,Moderate priority,6.66,Strong agreement,49,53.28,Upper-middle,Actions,43,59.94,Upper-middle,Shared trainer capacity,39.8,Lower-middle,Multicourse trainers,71.1,Upper-middle,Simultaneity,44.61,Lower-middle,Volume,8.41,1.25,3.1,0.552,0.1978,38.333333333333336,73.75,54.166666666666664,53.333333333333336,92.5
PYT,Introdução à Programação em Python,Informática,Centro 4,43,56.3,Upper-middle,Moderate priority,8.74,Strong agreement,53,51.93,Upper-middle,Actions,42,60.67,Upper-middle,Training workload,56.0,Upper-middle,Trainer scarcity,59.07,Upper-middle,Simultaneity,29.49,Lower-middle,Volume,16.61,1.33,2.57,0.4295,0.1065,76.66666666666667,76.66666666666667,43.333333333333336,25.0,55.00000000000001
PYT,Introdução à Programação em Python,Informática,Centro 3,44,55.47,Upper-middle,Moderate priority,5.35,Strong agreement,52,52.8,Upper-middle,Workforce,46,58.15,Upper-middle,Shared trainer capacity,62.6,Upper-middle,Trainer scarcity,49.36,Lower-middle,Simultaneity,40.12,Lower-middle,Volume,14.18,1.13,3.05,0.3663,0.1553,66.66666666666666,62.083333333333336,53.333333333333336,16.666666666666664,80.83333333333333
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 4,45,55.36,Upper-middle,Moderate priority,19.73,Moderate agreement,74,45.5,Lower-middle,Actions,35,65.23,Upper-middle,Shared trainer capacity,34.8,Lower-middle,Multicourse trainers,58.27,Upper-middle,Simultaneity,41.36,Lower-middle,Volume,36.55,1.05,2.15,0.4185,0.2884,96.66666666666667,55.41666666666667,28.333333333333332,22.5,98.33333333333333
TUR,Atendimento Turístico,Turismo,Centro 2,46,55.05,Upper-middle,Moderate priority,2.74,Strong agreement,48,53.68,Upper-middle,Workforce,51,56.42,Upper-middle,Commercial demand,72.0,Upper-middle,Trainer scarcity,42.15,Lower-middle,Volume,40.12,Lower-middle,Conversion,13.16,1.2,4.08,0.4848,0.0605,65.0,69.16666666666667,72.5,34.166666666666664,24.166666666666668
VND,Vendas e Negociação,Comercial,Centro 5,47,55.04,Upper-middle,Moderate priority,7.99,Strong agreement,54,51.05,Upper-middle,Workforce,45,59.04,Upper-middle,Commercial demand,72.0,Upper-middle,Trainer scarcity,36.36,Lower-middle,Regularity,38.55,Lower-middle,Volume,11.63,1.2,3.98,0.5868,0.0484,63.33333333333333,69.16666666666667,70.0,65.0,16.666666666666664
FOR,Formação Pedagógica Inicial de Formadores,Formação,Centro 5,48,55.0,Upper-middle,Moderate priority,19.23,Moderate agreement,75,45.39,Lower-middle,Actions,38,64.62,Upper-middle,Shared trainer capacity,39.8,Lower-middle,Multicourse trainers,60.28,Upper-middle,Simultaneity,26.81,Lower-middle,Volume,30.28,1.1,1.95,0.4347,0.2714,94.16666666666667,60.0,20.0,25.833333333333336,96.66666666666667
PRI,Primeiros Socorros,Saúde e Segurança,Centro 4,49,54.86,Upper-middle,Moderate priority,1.96,Strong agreement,41,55.84,Upper-middle,Workforce,53,53.88,Upper-middle,Concurrent actions,72.0,Upper-middle,Trainer scarcity,38.1,Lower-middle,Simultaneity,58.98,Upper-middle,Conversion,8.71,1.4,4.33,0.4623,0.0847,40.833333333333336,80.0,75.83333333333333,30.0,38.333333333333336
VND,Vendas e Negociação,Comercial,Centro 2,50,53.95,Upper-middle,Moderate priority,2.36,Strong agreement,43,55.13,Upper-middle,Commercial,55,52.77,Upper-middle,Sustained demand,39.8,Lower-middle,Multicourse trainers,65.13,Upper-middle,Volume,65.8,Upper-middle,Volume,8.76,0.85,2.93,0.7188,0.148,41.66666666666667,34.583333333333336,51.66666666666667,81.66666666666667,77.5
SOC,Socorrismo Básico,Saúde e Segurança,Centro 3,51,53.74,Upper-middle,Moderate priority,6.82,Strong agreement,55,50.33,Upper-middle,Workforce,48,57.15,Upper-middle,Concurrent actions,72.0,Upper-middle,Trainer scarcity,40.04,Lower-middle,Volume,27.55,Lower-middle,Volume,12.98,1.5,3.04,0.4816,0.0614,64.16666666666667,84.58333333333333,52.5,33.33333333333333,25.833333333333336
HAC,Higiene e Segurança Alimentar,Alimentar,Centro 1,52,53.06,Upper-middle,Moderate priority,10.16,Moderate agreement,33,58.14,Upper-middle,Workforce,61,47.98,Lower-middle,Shared trainer capacity,69.3,Upper-middle,Trainer scarcity,46.72,Lower-middle,Regularity,58.64,Upper-middle,Conversion,5.11,1.07,2.81,0.589,0.143,15.0,57.91666666666667,50.83333333333333,66.66666666666666,75.83333333333333
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 1,53,52.47,Upper-middle,Moderate priority,10.52,Moderate agreement,66,47.21,Lower-middle,Actions,47,57.73,Upper-middle,Shared trainer capacity,39.8,Lower-middle,Multicourse trainers,63.24,Upper-middle,Simultaneity,29.94,Lower-middle,Conversion,25.74,1.0,1.6,0.3911,0.1959,90.83333333333333,47.91666666666667,13.333333333333334,18.333333333333332,91.66666666666666
ING,Inglês Profissional,Línguas,Centro 2,54,52.0,Upper-middle,Moderate priority,9.81,Moderate agreement,68,47.09,Lower-middle,Actions,50,56.9,Upper-middle,Shared trainer capacity,29.8,Lower-middle,Multicourse trainers,61.78,Upper-middle,Simultaneity,52.32,Upper-middle,Volume,14.72,0.85,3.57,0.5469,0.1423,69.16666666666667,34.583333333333336,61.66666666666667,48.333333333333336,73.33333333333333
SEG,Segurança no Trabalho,Segurança,Centro 3,55,51.84,Upper-middle,Moderate priority,9.09,Moderate agreement,39,56.38,Upper-middle,Commercial,64,47.29,Lower-middle,Concurrent actions,56.0,Upper-middle,Trainer scarcity,49.55,Lower-middle,Simultaneity,70.79,Upper-middle,Volume,5.03,1.33,3.87,0.5912,0.0597,14.166666666666666,76.66666666666667,68.33333333333333,67.5,23.333333333333332
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 2,56,51.41,Upper-middle,Moderate priority,4.3,Moderate agreement,57,49.26,Lower-middle,Actions,54,53.56,Upper-middle,Training workload,39.8,Lower-middle,Multicourse trainers,57.16,Upper-middle,Volume,52.39,Upper-middle,Regularity,17.96,0.7,2.18,0.5946,0.1274,80.83333333333333,16.25,30.833333333333336,70.0,67.5
GER,Geriatria e Apoio ao Idoso,Saúde,Centro 5,57,50.94,Upper-middle,Moderate priority,12.01,Moderate agreement,78,44.93,Lower-middle,Actions,49,56.94,Upper-middle,Training workload,29.8,Lower-middle,Multicourse trainers,67.23,Upper-middle,Simultaneity,30.62,Lower-middle,Conversion,24.62,1.25,1.38,0.3785,0.1049,90.0,73.75,6.666666666666667,17.5,52.5
HCP,HACCP Aplicado,Alimentar,Centro 5,58,50.65,Upper-middle,Moderate priority,6.68,Moderate agreement,47,53.99,Upper-middle,Workforce,63,47.31,Lower-middle,Concurrent actions,72.0,Upper-middle,Trainer scarcity,48.44,Lower-middle,Regularity,29.03,Lower-middle,Conversion,9.96,1.4,2.18,0.3377,0.0774,52.5,80.0,30.0,12.5,34.583333333333336
LID,Liderança e Comunicação,Gestão,Centro 5,59,49.78,Lower-middle,Low priority,0.59,Moderate agreement,56,50.07,Upper-middle,Workforce,58,49.48,Lower-middle,Concurrent actions,62.7,Upper-middle,Trainer scarcity,45.67,Lower-middle,Volume,33.58,Lower-middle,Volume,9.33,1.07,2.59,0.5078,0.1054,47.5,57.91666666666667,45.0,39.166666666666664,54.166666666666664
HOT,Housekeeping e Operações Hoteleiras,Turismo,Centro 3,60,48.98,Lower-middle,Low priority,0.0,Strong agreement,59,48.98,Lower-middle,Workforce,60,48.98,Lower-middle,Training workload,82.0,High,Trainer scarcity,26.14,Lower-middle,Growth,28.59,Lower-middle,Conversion,14.57,1.0,2.76,0.4153,0.0856,68.33333333333333,47.91666666666667,50.0,20.833333333333336,39.166666666666664
MNT,Manutenção Industrial Básica,Manutenção,Centro 3,61,48.74,Lower-middle,Low priority,3.17,Moderate agreement,67,47.16,Lower-middle,Actions,57,50.33,Upper-middle,Shared trainer capacity,39.8,Lower-middle,Multicourse trainers,54.58,Upper-middle,Volume,47.04,Lower-middle,Volume,11.33,0.8,2.47,0.5694,0.1179,60.83333333333333,28.333333333333332,40.0,60.83333333333333,65.83333333333333
SEG,Segurança no Trabalho,Segurança,Centro 2,62,48.43,Lower-middle,Low priority,15.82,Moderate agreement,40,56.34,Upper-middle,Workforce,76,40.52,Lower-middle,Sustained demand,69.3,Upper-middle,Trainer scarcity,43.05,Lower-middle,Regularity,57.02,Upper-middle,Conversion,5.0,0.8,2.61,0.749,0.111,13.333333333333334,29.583333333333332,45.83333333333333,86.66666666666667,61.66666666666667
GES,Gestão de Equipas,Gestão,Centro 2,63,47.79,Lower-middle,Low priority,2.38,Strong agreement,59,48.98,Lower-middle,Workforce,66,46.6,Lower-middle,Concurrent actions,56.0,Upper-middle,Trainer scarcity,50.52,Upper-middle,Simultaneity,31.84,Lower-middle,Volume,9.05,1.07,2.7,0.4629,0.0882,46.666666666666664,57.91666666666667,49.166666666666664,30.833333333333336,40.833333333333336
INF,"Infeção, Prevenção e Controlo",Saúde,Centro 1,64,47.77,Lower-middle,Low priority,3.04,Strong agreement,70,46.25,Lower-middle,Workforce,59,49.29,Lower-middle,Concurrent actions,72.0,Upper-middle,Trainer scarcity,26.23,Lower-middle,Simultaneity,34.79,Lower-middle,Conversion,9.62,1.2,3.21,0.4732,0.0585,50.0,69.16666666666667,58.333333333333336,32.5,22.5
EXC,Excel Aplicado à Gestão,Informática,Centro 3,65,47.18,Lower-middle,Low priority,3.73,Strong agreement,58,49.04,Lower-middle,Commercial,70,45.31,Lower-middle,Sustained demand,39.8,Lower-middle,Mobile trainers,50.99,Upper-middle,Regularity,63.59,Upper-middle,Volume,8.92,0.7,3.19,0.6555,0.1042,45.0,16.25,57.49999999999999,75.83333333333333,51.66666666666667
HCP,HACCP Aplicado,Alimentar,Centro 4,66,46.93,Lower-middle,Low priority,1.72,Strong agreement,72,46.07,Lower-middle,Workforce,62,47.79,Lower-middle,Commercial demand,62.0,Upper-middle,Trainer scarcity,27.51,Lower-middle,Regularity,51.34,Upper-middle,Conversion,7.78,1.2,4.67,0.5475,0.0164,34.166666666666664,69.16666666666667,80.83333333333333,49.166666666666664,5.0
